Posting Date,Material,Menge,MEINS,WERKS,Kostenstelle,Lieferant,EBELN,Plant,Vendor Name
2024-01-05,Diesel Kraftstoff,4500.0,L,DE01,CC-1001,SHELL001,PO-100001,Plant-DE01,Shell Deutschland GmbH
2024-01-08,Benzin unleaded 95,1200,GAL,US02,CC-2001,BP-USA,PO-100002,Plant-US02,BP America Inc.
2024-01-10,Natural Gas,850,M3,UK03,CC-3001,NATGRID,PO-100003,Plant-UK03,National Grid UK
2024-01-12,diesel,0,L,DE01,CC-1001,SHELL001,PO-100004,Plant-DE01,Shell Deutschland GmbH
2024-01-15,Diesel Kraftstoff,95000.0,L,DE01,CC-1001,ESSO-DE,PO-100005,Plant-DE01,ExxonMobil Germany
2024-01-18,Heating Oil,320,liters,IN03,CC-4001,IOC001,PO-100006,Plant-IN03,Indian Oil Corp
2024-01-20,Diesel Kraftstoff,4600,L,DE01,CC-1001,SHELL001,PO-100007,Plant-DE01,Shell Deutschland GmbH
2024-01-20,Diesel Kraftstoff,4600,L,DE01,CC-1001,SHELL001,PO-100007,Plant-DE01,Shell Deutschland GmbH
2024-01-22,LPG / Propane,180,KG,AU04,CC-5001,ORIGEN,PO-100008,Plant-AU04,Origin Energy
2024-01-25,Gasoline 87,2200,GAL,US02,CC-2001,SUNOCO,PO-100009,Plant-US02,Sunoco LP
2024-02-01,Natural Gas,1100,M3,UK03,CC-3001,BRITGAS,PO-100010,Plant-UK03,British Gas
2024-02-03,diesel kraftstoff,5100,litre,DE01,CC-1001,ESSO-DE,PO-100011,Plant-DE01,ExxonMobil Germany
2024-02-07,LPG,220,KG,CN05,CC-6001,SINOPEC,PO-100012,Plant-CN05,Sinopec Corp
2024-02-10,Aviation Fuel Jet-A,8000,L,HQ-NYC,CC-7001,WORLDFU,PO-100013,HQ-NYC,World Fuel Services
2024-02-14,Diesel,3800,liters,IN03,CC-4001,IOC001,PO-100014,Plant-IN03,Indian Oil Corp
2024-02-18,Benzin,INVALID,L,DE01,CC-1001,ARAL001,PO-100015,Plant-DE01,Aral AG
2024-02-20,Fuel Oil No.2,12000,GAL,US02,CC-2001,CITGO01,PO-100016,Plant-US02,CITGO Petroleum
2024-02-25,Natural Gas,,M3,UK03,CC-3001,NATGRID,PO-100017,Plant-UK03,National Grid UK
2024-03-01,Diesel Kraftstoff,4750,L,DE01,CC-1001,SHELL001,PO-100018,Plant-DE01,Shell Deutschland GmbH
2024-03-05,Petrol Regular,980,GAL,AU04,CC-5001,AMPOL01,PO-100019,Plant-AU04,Ampol Energy
2024-03-08,Natural Gas,920,CBM,IN03,CC-4001,GAIL001,PO-100020,Plant-IN03,GAIL India Ltd
2024-03-12,diesel,4200,liters,DE01,CC-1001,SHELL001,PO-100021,Plant-DE01,Shell Deutschland GmbH
2024-03-15,Kerosene,650,L,HQ-NYC,CC-7001,SUNCO01,PO-100022,HQ-NYC,Sunoco Partners
2024-03-18,LPG,195,kg,CN05,CC-6001,PETROCH,PO-100023,Plant-CN05,PetroChina
2024-03-22,Gasoline Unleaded,1800,GAL,US02,CC-2001,MARATHON,PO-100024,Plant-US02,Marathon Petroleum
2024-03-25,Diesel,99000,liters,DE01,CC-1001,ESSO-DE,PO-100025,Plant-DE01,ExxonMobil Germany
2024-03-28,Natural Gas,1050,M3,UK03,CC-3001,BRITGAS,PO-100026,Plant-UK03,British Gas
2024-04-02,Benzin,1350,L,DE01,CC-1001,ARAL001,PO-100027,Plant-DE01,Aral AG
2024-04-05,Heating Oil,410,liters,IN03,CC-4001,IOC001,PO-100028,Plant-IN03,Indian Oil Corp
2024-04-10,Diesel Kraftstoff,4900,L,DE01,CC-1001,SHELL001,PO-100029,Plant-DE01,Shell Deutschland GmbH
